smiles_monomer,pm,distribution,ref,comment,mechanism,Mn,Mv,Mw,PDI,Tc,Td,Tg,Tm,density,elongation to break,elongation_at_break,flexural_strength,modulus,modulus_of_elasticity,notched_strength,set,tensile modulus,tensile strength,tensile stress relaxation,tensile_strength,unnotched_strength,yield_elongation,yield_strength,monomers,data_id
C#CCOC(=O)C(C)(CO)COC(=O)O.C[C@H](O)C(=O)O[C@H](C)C(=O)O,1,"[1, 1]","Liu, X., Hua, X., & Cui, D. (2018). Copolymerization of Lactide and Cyclic Carbonate via Highly Stereoselective Catalysts to Modulate Copolymer Sequences. Macromolecules, 51(3), 930‚Äì937. https://doi.org/10.1021/acs.macromol.7b02696",Table 2.5,ester_stereo,6570,,7690,1.17,,,33.6,,,,,,,,,,,,,,,,,"('C#CCOC(=O)C(C)(CO)COC(=O)O', 'C[C@H](O)C(=O)O[C@H](C)C(=O)O')",0
C=C(C(=O)O)[C@@H](C)O.C=C(C(=O)O)[C@H](C)O,0.21,[],"Xu, Y. C., Zhou, H., Sun, X. Y., Ren, W. M., & Lu, X. B. (2016). Crystalline Polyesters from CO2 and 2-Butyne via _-Methylene-_-butyrolactone Intermediate. Macromolecules, 49(16), 5782-5787. https://doi.org/10.1021/acs.macromol.6b01371","Table 1, #9",ester_stereo,11300,,12091,1.07,,,,64.1,,,,,,,,,,,,,,,,"('C=C(C(=O)O)[C@@H](C)O', 'C=C(C(=O)O)[C@H](C)O')",1
C=C(C(=O)O)[C@@H](C)O.C=C(C(=O)O)[C@H](C)O,0.29,[],"Xu, Y. C., Zhou, H., Sun, X. Y., Ren, W. M., & Lu, X. B. (2016). Crystalline Polyesters from CO2 and 2-Butyne via _-Methylene-_-butyrolactone Intermediate. Macromolecules, 49(16), 5782-5787. https://doi.org/10.1021/acs.macromol.6b01372","Table 1, #3",ester_stereo,7700,,8932,1.16,,,19,80.5,,,,,,,,,,,,,,,,"('C=C(C(=O)O)[C@@H](C)O', 'C=C(C(=O)O)[C@H](C)O')",2
C=C(C(=O)O)[C@@H](C)O.C=C(C(=O)O)[C@H](C)O,0.49,[],"Xu, Y. C., Zhou, H., Sun, X. Y., Ren, W. M., & Lu, X. B. (2016). Crystalline Polyesters from CO2 and 2-Butyne via _-Methylene-_-butyrolactone Intermediate. Macromolecules, 49(16), 5782-5787. https://doi.org/10.1021/acs.macromol.6b01369","Table 1, #12",ester_stereo,8500,,9265,1.09,,,10.7,,,,,,,,,,,,,,,,,"('C=C(C(=O)O)[C@@H](C)O', 'C=C(C(=O)O)[C@H](C)O')",3
C=C(C(=O)O)[C@@H](C)O.C=C(C(=O)O)[C@H](C)O,0.91,[],"Xu, Y. C., Zhou, H., Sun, X. Y., Ren, W. M., & Lu, X. B. (2016). Crystalline Polyesters from CO2 and 2-Butyne via _-Methylene-_-butyrolactone Intermediate. Macromolecules, 49(16), 5782-5787. https://doi.org/10.1021/acs.macromol.6b01368","Table 1, #17",ester_stereo,,,,,,,18.7,,,,,,,,,,,,,,,,,"('C=C(C(=O)O)[C@@H](C)O', 'C=C(C(=O)O)[C@H](C)O')",4
C=C(C(=O)O)[C@@H](C)O.C=C(C(=O)O)[C@H](C)O,0.91,[],"Xu, Y. C., Zhou, H., Sun, X. Y., Ren, W. M., & Lu, X. B. (2016). Crystalline Polyesters from CO2 and 2-Butyne via _-Methylene-_-butyrolactone Intermediate. Macromolecules, 49(16), 5782-5787. https://doi.org/10.1021/acs.macromol.6b01370","Table 1, #17",ester_stereo,8200,,9266,1.13,,,,102.8,,,,,,,,,,,,,,,,"('C=C(C(=O)O)[C@@H](C)O', 'C=C(C(=O)O)[C@H](C)O')",5
C=C(C)C(=O)OC,0,[],"Bicerano, J. (2002). Prediction of Polymer Properties. In Prediction of Polymer Properties. https://doi.org/10.1201/9780203910115",Table 6.6.47,vinyl_stereo,,,,,,,159.85,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",6
C=C(C)C(=O)OC,0,[],"Ute, K., Miyatake, N., & Hatada, K. (1995). Glass transition temperature and melting temperature of uniform isotactic and syndiotactic poly(methyl methacrylate)s from 13mer to 50mer. Polymer, 36(7), 1415‚Äì1419. https://doi.org/10.1016/0032-3861(95)95919-R",has Mw data in paper,vinyl_stereo,,,,,,,123.3,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",7
C=C(C)C(=O)OC,0.02,[],"Bywater, S., & Toporowski, P. M. (1972). Effect of stereostructure on glass transition temperatures of poly(methyl methacrylate). Polymer, 13(3), 94‚Äì96. https://doi.org/10.1016/S0032-3861(72)80001-10",Table 2.2,vinyl_stereo,2500000,,,,,,105,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",8
C=C(C)C(=O)OC,0.06,[],"Doulut, S., Demont, P., & Lacabanne, C. (2000). Influence of tacticity on the Œ± retardation mode in amorphous poly(methyl methacrylate). Macromolecules, 33(9), 3425‚Äì3430. https://doi.org/10.1021/ma990247k",Table 1.S90,vinyl_stereo,12500,,13600,1.02803738,,,127,,,,,,,,,,,,,,,,,"('C=C(C)C(=O)OC',)",9
