smiles_polymer,smiles_monomer,monomers,pm,Mn,Tg,Tm,Tm_pred,Tg_pred,model_id,distribution,ref,comment,mechanism,monomers.1,DP,replicate_structure,dTm,dTg
C[C@H](O)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,11.2,183.0,181.31454,11.365717,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 3, #3",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,0,1.6854600000000062,6.4631739999999995
C[C@H](O)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,37100.0,,178.0,181.20439,11.359574,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 1, #4",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,0,3.2043899999999894,
C[C@H](O)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,,183.0,181.31453,11.36572,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 1, #8",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,0,1.6854700000000093,
C[C@H](O)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,11.2,183.0,181.26538,11.364621,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 3, #3",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,1,1.7346200000000067,6.4631739999999995
C[C@@H](CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,37100.0,,178.0,181.23195,11.369859,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 1, #4",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,1,3.231950000000012,
C[C@@H](CC(=O)O[C@H](C)CC(=O)O)OC(=O)C[C@@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,,183.0,181.23195,11.36986,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 1, #8",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,1,1.7680499999999881,
C[C@@H](CC(=O)O[C@H](C)CC(=O)O)OC(=O)C[C@@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)OC(=O)C[C@H](C)OC(=O)C[C@@H](C)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,11.2,183.0,181.23195,11.369862,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 3, #3",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,2,1.7680499999999881,6.463176399999999
C[C@H](O)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,37100.0,,178.0,181.20439,11.359575,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 1, #4",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,2,3.2043899999999894,
C[C@H](O)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,,183.0,181.2044,11.359575,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 1, #8",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,2,1.7956000000000074,
C[C@H](O)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O[C@H](C)CC(=O)O[C@@H](C)CC(=O)O,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",0.06,,11.2,183.0,181.26538,11.364622,3,[],"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734","Table 3, #3",ester_stereo,"('C[C@@H](O)CC(=O)O', 'C[C@H](O)CC(=O)O')",25,3,1.7346200000000067,6.4631739999999995
