polymer_name,monomer_name,smiles_monomer,distribution,property,value,pm,units,ref,link/doi,comment,note,mechanism
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,27400,0.2,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,28222,0.2,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.03,0.2,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,133,0.2,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #1",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,61200,0.18,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,67320,0.18,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.1,0.18,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,126,0.18,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #2",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,37400,0.1,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #3",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,42636,0.1,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #3",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.14,0.1,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #3",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,167,0.1,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #3",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,37100,0.06,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #4",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,40810,0.06,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #4",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.1,0.06,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #4",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,178,0.06,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #4",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,47200,0.12,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #5",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,51920,0.12,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #5",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.1,0.12,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #5",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Tm,155,0.12,C,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #5",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mn,64300,0.12,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #6",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,Mw,73302,0.12,g/mol,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #6",,ester_stereo
poly(3-hydroxy butyrate),R-3-hydroxybutyrate.S-3-hydroxybutyrate,C[C@@H](O)CC(=O)O.C[C@H](O)CC(=O)O,,PDI,1.14,0.12,,"Ajellal, N., Bouyahyi, M., Amgoune, A., Thomas, C. M., Bondon, A., Pillin, I., Grohens, Y., & Carpentier, J. F. (2009). Syndiotactic-enriched poly(3-hydroxybutyrate)s via stereoselective ring-opening polymerization of racemic _-butyrolactone with discrete yttrium catalysts. Macromolecules, 42(4), 987-993. https://doi.org/10.1021/ma8022734",_10.1021/ma8022734,"Table 1, #6",,ester_stereo
